2024-06-01 19:10:08.244 INFO       [restartedMain] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@173471df, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b9d78cc, org.springframework.security.web.context.SecurityContextHolderFilter@62314da2, org.springframework.security.web.header.HeaderWriterFilter@1dcb5641, org.springframework.web.filter.CorsFilter@6337b3aa, org.springframework.security.web.authentication.logout.LogoutFilter@696e17bc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@efe544b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@183ed7a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f00f3bd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1f97ef8b, org.springframework.security.web.session.SessionManagementFilter@4e9212df, org.springframework.security.web.access.ExceptionTranslationFilter@1dece332, org.springframework.security.web.access.intercept.AuthorizationFilter@5fc6f08d]
2024-06-01 19:10:08.353 INFO       [restartedMain] o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-01 19:10:08.358 INFO       [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-01 19:10:08.360 INFO       [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-06-01 19:10:08.367 INFO       [restartedMain] c.e.s.Security5jwtappApplication - Started Security5jwtappApplication in 1.227 seconds (process running for 3675.922)
2024-06-01 19:10:08.369 INFO       [restartedMain] o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-06-01 19:12:30.918 INFO       [File Watcher] o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-06-01 19:12:30.921 INFO       [Thread-30] o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-06-01 19:12:30.924 INFO       [Thread-30] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-01 19:12:30.925 INFO       [Thread-30] com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Shutdown initiated...
2024-06-01 19:12:30.935 INFO       [Thread-30] com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Shutdown completed.
2024-06-01 19:12:31.073 INFO       [restartedMain] c.e.s.Security5jwtappApplication - Starting Security5jwtappApplication using Java 17.0.10 with PID 52327 (/home/unitedsol/Documents/workspace-spring-tool-suite/security5jwtapp/target/classes started by unitedsol in /home/unitedsol/Documents/workspace-spring-tool-suite/security5jwtapp)
2024-06-01 19:12:31.074 INFO       [restartedMain] c.e.s.Security5jwtappApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-01 19:12:31.284 INFO       [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-01 19:12:31.286 INFO       [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 JPA repository interfaces.
2024-06-01 19:12:31.480 INFO       [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-01 19:12:31.480 INFO       [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-01 19:12:31.481 INFO       [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-01 19:12:31.481 INFO       [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-01 19:12:31.488 INFO       [restartedMain] o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-01 19:12:31.489 INFO       [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 412 ms
2024-06-01 19:12:31.587 INFO       [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Starting...
2024-06-01 19:12:31.604 INFO       [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-9 - Added connection com.mysql.cj.jdbc.ConnectionImpl@35150b81
2024-06-01 19:12:31.605 INFO       [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Start completed.
2024-06-01 19:12:31.632 INFO       [restartedMain] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-01 19:12:31.635 INFO       [restartedMain] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
